CRIM;ZN;INDUS;CHAS;NOX;RM;AGE;DIS;RAD;TAX;PTRATIO;B;LSTAT;MEDV
113081;0;8140;0;0.538;57130;94.1;42330;4;307;21;360.17;22.6;12.7
135472;0;8140;0;0.538;60720;100;41750;4;307;21;376.73;13.04;14.5
138799;0;8140;0;0.538;59500;82;39900;4;307;21;232.6;27.71;13.2
115172;0;8140;0;0.538;57010;95;37872;4;307;21;358.77;18.35;13.1
161282;0;8140;0;0.538;60960;96.9;37598;4;307;21;248.31;20.34;13.5
0.06417;0;5960;0;0.499;59330;68.2;33603;5;279;19.2;396.9;9.68;18.9
0.09744;0;5960;0;0.499;58410;61.4;33779;5;279;19.2;377.56;11.41;20
0.08014;0;5960;0;0.499;58500;41.5;39342;5;279;19.2;396.9;8.77;21
0.17505;0;5960;0;0.499;59660;30.2;38473;5;279;19.2;393.43;10.13;24.7
0.02763;75;2950;0;0.428;65950;21.8;54011;3;252;18.3;395.63;4.32;30.8
0.03359;75;2950;0;0.428;70240;15.8;54011;3;252;18.3;395.62;1.98;34.9
0.12744;0;6910;0;0.448;67700;2.9;57209;3;233;17.9;385.41;4.84;26.6
0.1415;0;6910;0;0.448;61690;6.6;57209;3;233;17.9;383.37;5.81;25.3
0.15936;0;6910;0;0.448;62110;6.5;57209;3;233;17.9;394.46;7.44;24.7
0.12269;0;6910;0;0.448;60690;40;57209;3;233;17.9;389.39;9.55;21.2
0.17142;0;6910;0;0.448;56820;33.8;51004;3;233;17.9;396.9;10.21;19.3
0.18836;0;6910;0;0.448;57860;33.3;51004;3;233;17.9;396.9;14.15;20
0.22927;0;6910;0;0.448;60300;85.5;56894;3;233;17.9;392.74;18.8;16.6
0.25387;0;6910;0;0.448;53990;95.3;58700;3;233;17.9;396.9;30.81;14.4
0.21977;0;6910;0;0.448;56020;62;60877;3;233;17.9;396.9;16.2;19.4
0.08873;21;5640;0;0.439;59630;45.7;68147;4;243;16.8;395.56;13.45;19.7
0.04337;21;5640;0;0.439;61150;63;68147;4;243;16.8;393.97;9.43;20.5
0.0536;21;5640;0;0.439;65110;21.1;68147;4;243;16.8;396.9;5.28;25
0.04981;21;5640;0;0.439;59980;21.4;68147;4;243;16.8;396.9;8.43;23.4
0.0136;75;4000;0;0.41;58880;47.6;73197;3;469;21.1;396.9;14.8;18.9
0.01311;90;1220;0;0.403;72490;21.9;86966;5;226;17.9;395.93;4.81;35.4
0.02055;85;0.74;0;0.41;63830;35.7;91876;2;313;17.3;396.9;5.77;24.7
0.01432;100;1320;0;0.411;68160;40.5;83248;5;256;15.1;392.9;3.95;31.6
0.15445;25;5130;0;0.453;61450;29.2;78148;8;284;19.7;390.68;6.86;23.3
0.10328;25;5130;0;0.453;59270;47.2;69320;8;284;19.7;396.9;9.22;19.6
0.14932;25;5130;0;0.453;57410;66.2;72254;8;284;19.7;395.11;13.15;18.7
0.17171;25;5130;0;0.453;59660;93.4;68185;8;284;19.7;378.08;14.44;16
0.11027;25;5130;0;0.453;64560;67.8;72255;8;284;19.7;396.9;6.73;22.2
0.1265;25;5130;0;0.453;67620;43.4;79809;8;284;19.7;395.58;9.5;25
0.01951;17.5;1380;0;0.4161;71040;59.5;92229;3;216;18.6;393.24;8.05;33
0.03584;80;3370;0;0.398;62900;17.8;66115;4;337;16.1;396.9;4.67;23.5
0.04379;80;3370;0;0.398;57870;31.1;66115;4;337;16.1;396.9;10.24;19.4
0.05789;12.5;6070;0;0.409;58780;21.4;64980;4;345;18.9;396.21;8.1;22
0.13554;12.5;6070;0;0.409;55940;36.8;64980;4;345;18.9;396.9;13.09;17.4
0.12816;12.5;6070;0;0.409;58850;33;64980;4;345;18.9;396.9;8.79;20.9
0.08826;0;10810;0;0.413;64170;6.6;52873;4;305;19.2;383.73;6.72;24.2
0.15876;0;10810;0;0.413;59610;17.5;52873;4;305;19.2;376.94;9.88;21.7
0.09164;0;10810;0;0.413;60650;7.8;52873;4;305;19.2;390.91;5.52;22.8
0.19539;0;10810;0;0.413;62450;6.2;52873;4;305;19.2;377.17;7.54;23.4
0.07896;0;12830;0;0.437;62730;6;42515;5;398;18.7;394.92;6.78;24.1
0.09512;0;12830;0;0.437;62860;45;45026;5;398;18.7;383.23;8.94;21.4
0.10153;0;12830;0;0.437;62790;74.5;40522;5;398;18.7;373.66;11.97;20
0.08707;0;12830;0;0.437;61400;45.8;40905;5;398;18.7;386.96;10.27;20.8
0.05646;0;12830;0;0.437;62320;53.7;50141;5;398;18.7;386.4;12.34;21.2
0.08387;0;12830;0;0.437;58740;36.6;45026;5;398;18.7;396.06;9.1;20.3
0.04113;25;4860;0;0.426;67270;33.5;54007;4;281;19;396.9;5.29;28
0.04462;25;4860;0;0.426;66190;70.4;54007;4;281;19;395.63;7.22;23.9
0.03659;25;4860;0;0.426;63020;32.2;54007;4;281;19;396.9;6.72;24.8
0.03551;25;4860;0;0.426;61670;46.7;54007;4;281;19;390.64;7.51;22.9
0.05059;0;4490;0;0.449;63890;48;47794;3;247;18.5;396.9;9.62;23.9
0.05735;0;4490;0;0.449;66300;56.1;44377;3;247;18.5;392.3;6.53;26.6
0.05188;0;4490;0;0.449;60150;45.1;44272;3;247;18.5;395.99;12.86;22.5
0.07151;0;4490;0;0.449;61210;56.8;37476;3;247;18.5;395.15;8.44;22.2
0.0566;0;3410;0;0.489;70070;86.3;34217;2;270;17.8;396.9;5.5;23.6
0.05302;0;3410;0;0.489;70790;63.1;34145;2;270;17.8;396.06;5.7;28.7
0.04684;0;3410;0;0.489;64170;66.1;30923;2;270;17.8;392.18;8.81;22.6
0.03932;0;3410;0;0.489;64050;73.9;30921;2;270;17.8;393.55;8.2;22
0.04203;28;15040;0;0.464;64420;53.6;36659;4;270;18.2;395.01;8.16;22.9
0.02875;28;15040;0;0.464;62110;28.9;36659;4;270;18.2;396.33;6.21;25
0.04294;28;15040;0;0.464;62490;77.3;36150;4;270;18.2;396.9;10.59;20.6
0.12204;0;2890;0;0.445;66250;57.8;34952;2;276;18;357.98;6.65;28.4
0.11504;0;2890;0;0.445;61630;69.6;34952;2;276;18;391.83;11.34;21.4
0.12083;0;2890;0;0.445;80690;76;34952;2;276;18;396.9;4.21;38.7
0.08187;0;2890;0;0.445;78200;36.9;34952;2;276;18;393.53;3.57;43.8
0.0686;0;2890;0;0.445;74160;62.5;34952;2;276;18;396.9;6.19;33.2
0.14866;0;8560;0;0.52;67270;79.9;27778;5;384;20.9;394.76;9.42;27.5
0.11432;0;8560;0;0.52;67810;71.3;28561;5;384;20.9;395.58;7.67;26.5
0.22876;0;8560;0;0.52;64050;85.4;27147;5;384;20.9;70.8;10.63;18.6
0.21161;0;8560;0;0.52;61370;87.4;27147;5;384;20.9;394.47;13.44;19.3
0.1396;0;8560;0;0.52;61670;90;24210;5;384;20.9;392.69;12.33;20.1
0.13262;0;8560;0;0.52;58510;96.7;21069;5;384;20.9;394.05;16.47;19.5
0.1712;0;8560;0;0.52;58360;91.9;22110;5;384;20.9;395.67;18.66;19.5
0.13117;0;8560;0;0.52;61270;85.2;21224;5;384;20.9;387.69;14.09;20.4
0.12802;0;8560;0;0.52;64740;97.1;24329;5;384;20.9;395.24;12.27;19.8
0.26363;0;8560;0;0.52;62290;91.2;25451;5;384;20.9;391.23;15.55;19.4
0.10793;0;8560;0;0.52;61950;54.4;27778;5;384;20.9;393.49;13;21.7
0.10084;0;10010;0;0.547;67150;81.6;26775;6;432;17.8;395.59;10.16;22.8
0.12329;0;10010;0;0.547;59130;92.9;23534;6;432;17.8;394.95;16.21;18.8
0.22212;0;10010;0;0.547;60920;95.4;25480;6;432;17.8;396.9;17.09;18.7
0.14231;0;10010;0;0.547;62540;84.2;22565;6;432;17.8;388.74;10.45;18.5
0.17134;0;10010;0;0.547;59280;88.2;24631;6;432;17.8;344.91;15.76;18.3
0.13158;0;10010;0;0.547;61760;72.5;27301;6;432;17.8;393.3;12.04;21.2
0.15098;0;10010;0;0.547;60210;82.6;27474;6;432;17.8;394.51;10.3;19.2
0.13058;0;10010;0;0.547;58720;73.1;24775;6;432;17.8;338.63;15.37;20.4
0.14476;0;10010;0;0.547;57310;65.2;27592;6;432;17.8;391.5;13.61;19.3
0.06899;0;25650;0;0.581;58700;69.7;22577;2;188;19.1;389.15;14.37;22
0.07165;0;25650;0;0.581;60040;84.1;21974;2;188;19.1;377.67;14.27;20.3
0.09299;0;25650;0;0.581;59610;92.9;20869;2;188;19.1;378.09;17.93;20.5
0.15038;0;25650;0;0.581;58560;97;19444;2;188;19.1;370.31;25.41;17.3
0.09849;0;25650;0;0.581;58790;95.8;20063;2;188;19.1;379.38;17.58;18.8
0.16902;0;25650;0;0.581;59860;88.4;19929;2;188;19.1;385.02;14.81;21.4
0.38735;0;25650;0;0.581;56130;95.6;17572;2;188;19.1;359.29;27.26;15.7
0.25915;0;21890;0;0.624;56930;96;17883;4;437;21.2;392.11;17.19;16.2
0.32543;0;21890;0;0.624;64310;98.8;18125;4;437;21.2;396.9;15.39;18
0.88125;0;21890;0;0.624;56370;94.7;19799;4;437;21.2;396.9;18.34;14.3
0.34006;0;21890;0;0.624;64580;98.9;21185;4;437;21.2;395.04;12.6;19.2
119294;0;21890;0;0.624;63260;97.7;22710;4;437;21.2;396.9;12.26;19.6
0.59005;0;21890;0;0.624;63720;97.9;23274;4;437;21.2;385.76;11.12;23
0.32982;0;21890;0;0.624;58220;95.4;24699;4;437;21.2;388.69;15.03;18.4
0.97617;0;21890;0;0.624;57570;98.4;23460;4;437;21.2;262.76;17.31;15.6
0.55778;0;21890;0;0.624;63350;98.2;21107;4;437;21.2;394.67;16.96;18.1
0.32264;0;21890;0;0.624;59420;93.5;19669;4;437;21.2;378.25;16.9;17.4
0.35233;0;21890;0;0.624;64540;98.4;18498;4;437;21.2;394.08;14.59;17.1
0.2498;0;21890;0;0.624;58570;98.2;16686;4;437;21.2;392.04;21.32;13.3
0.54452;0;21890;0;0.624;61510;97.9;16687;4;437;21.2;396.9;18.46;17.8
0.2909;0;21890;0;0.624;61740;93.6;16119;4;437;21.2;388.08;24.16;14
162864;0;21890;0;0.624;50190;100;14394;4;437;21.2;396.9;34.41;14.4
332105;0;19580;1;0.871;54030;100;13216;5;403;14.7;396.9;26.82;13.4
409740;0;19580;0;0.871;54680;100;14118;5;403;14.7;396.9;26.42;15.6
277974;0;19580;0;0.871;49030;97.8;13459;5;403;14.7;396.9;29.29;11.8
237934;0;19580;0;0.871;61300;100;14191;5;403;14.7;172.91;27.8;13.8
215505;0;19580;0;0.871;56280;100;15166;5;403;14.7;169.27;16.65;15.6
236862;0;19580;0;0.871;49260;95.7;14608;5;403;14.7;391.71;29.53;14.6
233099;0;19580;0;0.871;51860;93.8;15296;5;403;14.7;356.99;28.32;17.8
273397;0;19580;0;0.871;55970;94.9;15257;5;403;14.7;351.85;21.45;15.4
165660;0;19580;0;0.871;61220;97.3;16180;5;403;14.7;372.8;14.1;21.5
149632;0;19580;0;0.871;54040;100;15916;5;403;14.7;341.6;13.28;19.6
112658;0;19580;1;0.871;50120;88;16102;5;403;14.7;343.28;12.12;15.3
214918;0;19580;0;0.871;57090;98.5;16232;5;403;14.7;261.95;15.79;19.4
141385;0;19580;1;0.871;61290;96;17494;5;403;14.7;321.02;15.12;17
353501;0;19580;1;0.871;61520;82.6;17455;5;403;14.7;88.01;15.02;15.6
244668;0;19580;0;0.871;52720;94;17364;5;403;14.7;88.63;16.14;13.1
122358;0;19580;0;0.605;69430;97.4;18773;5;403;14.7;363.43;4.59;41.3
134284;0;19580;0;0.605;60660;100;17573;5;403;14.7;353.89;6.43;24.3
142502;0;19580;0;0.871;65100;100;17659;5;403;14.7;364.31;7.39;23.3
127346;0;19580;1;0.605;62500;92.6;17984;5;403;14.7;338.92;5.5;27
146336;0;19580;0;0.605;74890;90.8;19709;5;403;14.7;374.43;1.73;50
183377;0;19580;1;0.605;78020;98.2;20407;5;403;14.7;389.61;1.92;50
151902;0;19580;1;0.605;83750;93.9;21620;5;403;14.7;388.45;3.32;50
224236;0;19580;0;0.605;58540;91.8;24220;5;403;14.7;395.11;11.64;22.7
292400;0;19580;0;0.605;61010;93;22834;5;403;14.7;240.16;9.81;25
201019;0;19580;0;0.605;79290;96.2;20459;5;403;14.7;369.3;3.7;50
180028;0;19580;0;0.605;58770;79.2;24259;5;403;14.7;227.61;12.14;23.8
230040;0;19580;0;0.605;63190;96.1;21000;5;403;14.7;297.09;11.1;23.8
244953;0;19580;0;0.605;64020;95.2;22625;5;403;14.7;330.04;11.32;22.3
120742;0;19580;0;0.605;58750;94.6;24259;5;403;14.7;292.29;14.43;17.4
231390;0;19580;0;0.605;58800;97.3;23887;5;403;14.7;348.13;12.03;19.1
0.13914;0;4050;0;0.51;55720;88.5;25961;5;296;16.6;396.9;14.69;23.1
0.09178;0;4050;0;0.51;64160;84.1;26463;5;296;16.6;395.5;9.04;23.6
0.08447;0;4050;0;0.51;58590;68.7;27019;5;296;16.6;393.23;9.64;22.6
0.06664;0;4050;0;0.51;65460;33.1;31323;5;296;16.6;390.96;5.33;29.4
0.07022;0;4050;0;0.51;60200;47.2;35549;5;296;16.6;393.23;10.11;23.2
0.05425;0;4050;0;0.51;63150;73.4;33175;5;296;16.6;395.6;6.29;24.6
0.06642;0;4050;0;0.51;68600;74.4;29153;5;296;16.6;391.27;6.92;29.9
0.0578;0;2460;0;0.488;69800;58.4;28290;3;193;17.8;396.9;5.04;37.2
0.06588;0;2460;0;0.488;77650;83.3;27410;3;193;17.8;395.56;7.56;39.8
0.06888;0;2460;0;0.488;61440;62.2;25979;3;193;17.8;396.9;9.45;36.2
0.09103;0;2460;0;0.488;71550;92.2;27006;3;193;17.8;394.12;4.82;37.9
0.10008;0;2460;0;0.488;65630;95.6;28470;3;193;17.8;396.9;5.68;32.5
0.08308;0;2460;0;0.488;56040;89.8;29879;3;193;17.8;391;13.98;26.4
0.06047;0;2460;0;0.488;61530;68.8;32797;3;193;17.8;387.11;13.15;29.6
0.05602;0;2460;0;0.488;78310;53.6;31992;3;193;17.8;392.63;4.45;50
0.07875;45;3440;0;0.437;67820;41.1;37886;5;398;15.2;393.87;6.68;32
0.12579;45;3440;0;0.437;65560;29.1;45667;5;398;15.2;382.84;4.56;29.8
0.0837;45;3440;0;0.437;71850;38.9;45667;5;398;15.2;396.9;5.39;34.9
0.09068;45;3440;0;0.437;69510;21.5;64798;5;398;15.2;377.68;5.1;37
0.06911;45;3440;0;0.437;67390;30.8;64798;5;398;15.2;389.71;4.69;30.5
0.08664;45;3440;0;0.437;71780;26.3;64798;5;398;15.2;390.49;2.87;36.4
0.02187;60;2930;0;0.401;68000;9.9;62196;1;265;15.6;393.37;5.03;31.1
0.01439;60;2930;0;0.401;66040;18.8;62196;1;265;15.6;376.7;4.38;29.1
0.01381;80;0.46;0;0.422;78750;32;56484;4;255;14.4;394.23;2.97;50
0.04011;80;1520;0;0.404;72870;34.1;73090;2;329;12.6;396.9;4.08;33.3
0.04666;80;1520;0;0.404;71070;36.6;73090;2;329;12.6;354.31;8.61;30.3
0.03768;80;1520;0;0.404;72740;38.3;73090;2;329;12.6;392.2;6.62;34.6
0.0315;95;1470;0;0.403;69750;15.3;76534;3;402;17;396.9;4.56;34.9
0.01778;95;1470;0;0.403;71350;13.9;76534;3;402;17;384.3;4.45;32.9
0.03445;82.5;2030;0;0.415;61620;38.4;62700;2;348;14.7;393.77;7.43;24.1
0.02177;82.5;2030;0;0.415;76100;15.7;62700;2;348;14.7;395.38;3.11;42.3
0.0351;95;2680;0;0.4161;78530;33.2;51180;4;224;14.7;392.78;3.81;48.5
0.02009;95;2680;0;0.4161;80340;31.9;51180;4;224;14.7;390.55;2.88;50
0.13642;0;10590;0;0.489;58910;22.3;39454;4;277;18.6;396.9;10.87;22.6
0.22969;0;10590;0;0.489;63260;52.5;43549;4;277;18.6;394.87;10.97;24.4
0.25199;0;10590;0;0.489;57830;72.7;43549;4;277;18.6;389.43;18.06;22.5
0.13587;0;10590;1;0.489;60640;59.1;42392;4;277;18.6;381.32;14.66;24.4
0.43571;0;10590;1;0.489;53440;100;38750;4;277;18.6;396.9;23.09;20
0.17446;0;10590;1;0.489;59600;92.1;38771;4;277;18.6;393.25;17.27;21.7
0.37578;0;10590;1;0.489;54040;88.6;36650;4;277;18.6;395.24;23.98;19.3
0.21719;0;10590;1;0.489;58070;53.8;36526;4;277;18.6;390.94;16.03;22.4
0.14052;0;10590;0;0.489;63750;32.3;39454;4;277;18.6;385.81;9.38;28.1
0.28955;0;10590;0;0.489;54120;9.8;35875;4;277;18.6;348.93;29.55;23.7
0.19802;0;10590;0;0.489;61820;42.4;39454;4;277;18.6;393.63;9.47;25
0.0456;0;13890;1;0.55;58880;56;31121;5;276;16.4;392.8;13.51;23.3
0.07013;0;13890;0;0.55;66420;85.1;34211;5;276;16.4;392.78;9.69;28.7
0.11069;0;13890;1;0.55;59510;93.8;28893;5;276;16.4;396.9;17.92;21.5
0.11425;0;13890;1;0.55;63730;92.4;33633;5;276;16.4;393.74;10.5;23
0.35809;0;6200;1;0.507;69510;88.5;28617;8;307;17.4;391.7;9.71;26.7
0.40771;0;6200;1;0.507;61640;91.3;30480;8;307;17.4;395.24;21.46;21.7
0.62356;0;6200;1;0.507;68790;77.7;32721;8;307;17.4;390.39;9.93;27.5
0.6147;0;6200;0;0.507;66180;80.8;32721;8;307;17.4;396.9;7.6;30.1
0.31533;0;6200;0;0.504;82660;78.3;28944;8;307;17.4;385.05;4.14;44.8
0.52693;0;6200;0;0.504;87250;83;28944;8;307;17.4;382;4.63;50
0.38214;0;6200;0;0.504;80400;86.5;32157;8;307;17.4;387.38;3.13;37.6
0.41238;0;6200;0;0.504;71630;79.9;32157;8;307;17.4;372.08;6.36;31.6
0.29819;0;6200;0;0.504;76860;17;33751;8;307;17.4;377.51;3.92;46.7
0.44178;0;6200;0;0.504;65520;21.4;33751;8;307;17.4;380.34;3.76;31.5
0.537;0;6200;0;0.504;59810;68.1;36715;8;307;17.4;378.35;11.65;24.3
0.46296;0;6200;0;0.504;74120;76.9;36715;8;307;17.4;376.14;5.25;31.7
0.57529;0;6200;0;0.507;83370;73.3;38384;8;307;17.4;385.91;2.47;41.7
0.33147;0;6200;0;0.507;82470;70.4;36519;8;307;17.4;378.95;3.95;48.3
0.44791;0;6200;1;0.507;67260;66.5;36519;8;307;17.4;360.2;8.05;29
0.33045;0;6200;0;0.507;60860;61.5;36519;8;307;17.4;376.75;10.88;24
0.52058;0;6200;1;0.507;66310;76.5;41480;8;307;17.4;388.45;9.54;25.1
0.51183;0;6200;0;0.507;73580;71.6;41480;8;307;17.4;390.07;4.73;31.5
0.08244;30;4930;0;0.428;64810;18.5;61899;6;300;16.6;379.41;6.36;23.7
0.09252;30;4930;0;0.428;66060;42.2;61899;6;300;16.6;383.78;7.37;23.3
0.11329;30;4930;0;0.428;68970;54.3;63361;6;300;16.6;391.25;11.38;22
0.10612;30;4930;0;0.428;60950;65.1;63361;6;300;16.6;394.62;12.4;20.1
0.1029;30;4930;0;0.428;63580;52.9;70355;6;300;16.6;372.75;11.22;22.2
0.12757;30;4930;0;0.428;63930;7.8;70355;6;300;16.6;374.71;5.19;23.7
0.20608;22;5860;0;0.431;55930;76.5;79549;7;330;19.1;372.49;12.5;17.6
0.19133;22;5860;0;0.431;56050;70.2;79549;7;330;19.1;389.13;18.46;18.5
0.33983;22;5860;0;0.431;61080;34.9;80555;7;330;19.1;390.18;9.16;24.3
0.19657;22;5860;0;0.431;62260;79.2;80555;7;330;19.1;376.14;10.15;20.5
0.16439;22;5860;0;0.431;64330;49.1;78265;7;330;19.1;374.71;9.52;24.5
0.19073;22;5860;0;0.431;67180;17.5;78265;7;330;19.1;393.74;6.56;26.2
0.1403;22;5860;0;0.431;64870;13;73967;7;330;19.1;396.28;5.9;24.4
0.21409;22;5860;0;0.431;64380;8.9;73967;7;330;19.1;377.07;3.59;24.8
0.08221;22;5860;0;0.431;69570;6.8;89067;7;330;19.1;386.09;3.53;29.6
0.36894;22;5860;0;0.431;82590;8.4;89067;7;330;19.1;396.9;3.54;42.8
0.04819;80;3640;0;0.392;61080;32;92203;1;315;16.4;392.89;6.57;21.9
0.03548;80;3640;0;0.392;58760;19.1;92203;1;315;16.4;395.18;9.25;20.9
0.01538;90;3750;0;0.394;74540;34.2;63361;3;244;15.9;386.34;3.11;44
0.61154;20;3970;0;0.647;87040;86.9;18010;5;264;13;389.7;5.12;50
0.66351;20;3970;0;0.647;73330;100;18946;5;264;13;383.29;7.79;36
0.65665;20;3970;0;0.647;68420;100;20107;5;264;13;391.93;6.9;30.1
0.54011;20;3970;0;0.647;72030;81.8;21121;5;264;13;392.8;9.59;33.8
0.53412;20;3970;0;0.647;75200;89.4;21398;5;264;13;388.37;7.26;43.1
0.52014;20;3970;0;0.647;83980;91.5;22885;5;264;13;386.86;5.91;48.8
0.82526;20;3970;0;0.647;73270;94.5;20788;5;264;13;393.42;11.25;31
0.55007;20;3970;0;0.647;72060;91.6;19301;5;264;13;387.89;8.1;36.5
0.76162;20;3970;0;0.647;55600;62.8;19865;5;264;13;392.4;10.45;22.8
0.7857;20;3970;0;0.647;70140;84.6;21329;5;264;13;384.07;14.79;30.7
0.57834;20;3970;0;0.575;82970;67;24216;5;264;13;384.54;7.44;50
0.5405;20;3970;0;0.575;74700;52.6;28720;5;264;13;390.3;3.16;43.5
0.09065;20;6960;1;0.464;59200;61.5;39175;3;223;18.6;391.34;13.65;20.7
0.29916;20;6960;0;0.464;58560;42.1;44290;3;223;18.6;388.65;13;21.1
0.16211;20;6960;0;0.464;62400;16.3;44290;3;223;18.6;396.9;6.59;25.2
0.1146;20;6960;0;0.464;65380;58.7;39175;3;223;18.6;394.96;7.73;24.4
0.22188;20;6960;1;0.464;76910;51.8;43665;3;223;18.6;390.77;6.58;35.2
0.05644;40;6410;1;0.447;67580;32.9;40776;4;254;17.6;396.9;3.53;32.4
0.09604;40;6410;0;0.447;68540;42.8;42673;4;254;17.6;396.9;2.98;32
0.10469;40;6410;1;0.447;72670;49;47872;4;254;17.6;389.25;6.05;33.2
0.06127;40;6410;1;0.447;68260;27.6;48628;4;254;17.6;393.45;4.16;33.1
0.07978;40;6410;0;0.447;64820;32.1;41403;4;254;17.6;396.9;7.19;29.1
0.21038;20;3330;0;0.4429;68120;32.2;41007;5;216;14.9;396.9;4.85;35.1
0.03578;20;3330;0;0.4429;78200;64.5;46947;5;216;14.9;387.31;3.76;45.4
0.03705;20;3330;0;0.4429;69680;37.2;52447;5;216;14.9;392.23;4.59;35.4
0.06129;20;3330;1;0.4429;76450;49.7;52119;5;216;14.9;377.07;3.01;46
0.01501;90;1210;1;0.401;79230;24.8;58850;1;198;13.6;395.52;3.16;50
0.00906;90;2970;0;0.4;70880;20.8;73073;1;285;15.3;394.72;7.85;32.2
0.01096;55;2250;0;0.389;64530;31.9;73073;1;300;15.3;394.72;8.23;22
0.01965;80;1760;0;0.385;62300;31.5;90892;1;241;18.2;341.6;12.93;20.1
0.03871;52.5;5320;0;0.405;62090;31.3;73172;6;293;16.6;396.9;7.14;23.2
0.0459;52.5;5320;0;0.405;63150;45.6;73172;6;293;16.6;396.9;7.6;22.3
0.04297;52.5;5320;0;0.405;65650;22.9;73172;6;293;16.6;371.72;9.51;24.8
0.03502;80;4950;0;0.411;68610;27.9;51167;4;245;19.2;396.9;3.33;28.5
0.07886;80;4950;0;0.411;71480;27.7;51167;4;245;19.2;396.9;3.56;37.3
0.03615;80;4950;0;0.411;66300;23.4;51167;4;245;19.2;396.9;4.7;27.9
0.08265;0;13920;0;0.437;61270;18.4;55027;4;289;16;396.9;8.58;23.9
0.08199;0;13920;0;0.437;60090;42.3;55027;4;289;16;396.9;10.4;21.7
0.12932;0;13920;0;0.437;66780;31.1;59604;4;289;16;396.9;6.27;28.6
0.05372;0;13920;0;0.437;65490;51;59604;4;289;16;392.85;7.39;27.1
0.14103;0;13920;0;0.437;57900;58;63200;4;289;16;396.9;15.84;20.3
0.06466;70;2240;0;0.4;63450;20.1;78278;5;358;14.8;368.24;4.97;22.5
0.05561;70;2240;0;0.4;70410;10;78278;5;358;14.8;371.58;4.74;29
0.04417;70;2240;0;0.4;68710;47.4;78278;5;358;14.8;390.86;6.07;24.8
0.03537;34;6090;0;0.433;65900;40.4;54917;7;329;16.1;395.75;9.5;22
0.09266;34;6090;0;0.433;64950;18.4;54917;7;329;16.1;383.61;8.67;26.4
0.1;34;6090;0;0.433;69820;17.7;54917;7;329;16.1;390.43;4.86;33.1
0.05515;33;2180;0;0.472;72360;41.1;40220;7;222;18.4;393.68;6.93;36.1
0.05479;33;2180;0;0.472;66160;58.1;33700;7;222;18.4;393.36;8.93;28.4
0.07503;33;2180;0;0.472;74200;71.9;30992;7;222;18.4;396.9;6.47;33.4
0.04932;33;2180;0;0.472;68490;70.3;31827;7;222;18.4;396.9;7.53;28.2
0.49298;0;9900;0;0.544;66350;82.5;33175;4;304;18.4;396.9;4.54;22.8
